epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
120,9318.96,0.8365,0.48224,0.00357,0.00701,0.95194,0.88103,0.88292,0.77966,0.73559,0.49439,0.0047,0.0041,0.00035945,0.00035945,0.00035945
121,9396.25,0.83403,0.48872,0.00361,0.00682,0.9569,0.87463,0.88272,0.77992,0.73615,0.49856,0.00469,0.00393,0.000352037,0.000352037,0.000352037
122,9473.13,0.83297,0.48527,0.00359,0.00697,0.9512,0.88155,0.8849,0.78109,0.73252,0.49235,0.00469,0.00392,0.000344661,0.000344661,0.000344661
123,9551.38,0.8386,0.48754,0.00356,0.00692,0.94898,0.88663,0.88472,0.78164,0.73348,0.49228,0.0047,0.00394,0.000337325,0.000337325,0.000337325
124,9629.34,0.83269,0.4845,0.00357,0.00694,0.95135,0.88453,0.88544,0.78188,0.73702,0.49315,0.00471,0.00393,0.00033003,0.00033003,0.00033003
125,9706.88,0.84195,0.49824,0.00362,0.00698,0.9493,0.88152,0.88175,0.77806,0.73733,0.50378,0.0047,0.00392,0.000322778,0.000322778,0.000322778
126,9784.17,0.82658,0.48027,0.00358,0.00706,0.95857,0.87636,0.88575,0.78132,0.73483,0.49494,0.0047,0.00397,0.000315572,0.000315572,0.000315572
127,9862.2,0.82887,0.47186,0.00356,0.00701,0.95392,0.87637,0.88265,0.77893,0.73548,0.50774,0.0047,0.0039,0.000308412,0.000308412,0.000308412
128,9940.06,0.84233,0.48631,0.0036,0.00703,0.9509,0.88596,0.88534,0.78227,0.733,0.49511,0.0047,0.0041,0.0003013,0.0003013,0.0003013
129,10018.5,0.83039,0.4845,0.00358,0.00716,0.95465,0.88264,0.88525,0.78181,0.73406,0.50479,0.00471,0.00417,0.000294239,0.000294239,0.000294239
130,10095.7,0.83328,0.48615,0.00355,0.00677,0.94813,0.88646,0.8867,0.78382,0.73317,0.49366,0.0047,0.0039,0.00028723,0.00028723,0.00028723
131,10173,0.81625,0.45427,0.00354,0.00696,0.95343,0.88447,0.88276,0.78005,0.73426,0.49545,0.00472,0.00389,0.000280275,0.000280275,0.000280275
132,10250,0.81601,0.46577,0.00359,0.00667,0.95655,0.88612,0.88444,0.78116,0.73465,0.49881,0.00472,0.00394,0.000273375,0.000273375,0.000273375
133,10327.9,0.82984,0.47734,0.00359,0.00681,0.95368,0.88868,0.88468,0.78216,0.73516,0.49795,0.00471,0.00394,0.000266532,0.000266532,0.000266532
134,10405.4,0.82105,0.4695,0.00354,0.00654,0.94794,0.88441,0.88227,0.78005,0.7332,0.4915,0.00471,0.0039,0.000259748,0.000259748,0.000259748
135,10483.5,0.81929,0.4669,0.00354,0.00688,0.95109,0.88729,0.88321,0.7818,0.73196,0.49134,0.0047,0.00393,0.000253024,0.000253024,0.000253024
136,10560.9,0.82326,0.46851,0.00358,0.00661,0.9506,0.88531,0.88262,0.78105,0.73617,0.49765,0.00471,0.004,0.000246363,0.000246363,0.000246363
137,10638.3,0.80508,0.44757,0.00354,0.00637,0.95247,0.88426,0.88519,0.7823,0.732,0.499,0.0047,0.00391,0.000239766,0.000239766,0.000239766
138,10715,0.81695,0.46672,0.00357,0.00645,0.95372,0.88908,0.88554,0.78386,0.73104,0.49873,0.00467,0.00387,0.000233234,0.000233234,0.000233234
139,10793.1,0.80836,0.45608,0.00353,0.00666,0.95101,0.88526,0.88205,0.78001,0.73036,0.49533,0.00468,0.00385,0.000226769,0.000226769,0.000226769
140,10871.2,0.80982,0.45599,0.00354,0.00649,0.95331,0.88409,0.88407,0.78311,0.73178,0.5041,0.0047,0.00388,0.000220372,0.000220372,0.000220372
141,10947.8,0.80951,0.45317,0.00352,0.00644,0.95038,0.88608,0.88438,0.78256,0.73155,0.50041,0.00469,0.00391,0.000214046,0.000214046,0.000214046
142,11025.8,0.82881,0.46718,0.00348,0.00678,0.95456,0.88576,0.88268,0.78091,0.73327,0.49828,0.00468,0.00396,0.000207792,0.000207792,0.000207792
143,11103.2,0.81065,0.45453,0.00353,0.00649,0.95877,0.88265,0.88325,0.78169,0.73388,0.50482,0.00469,0.00397,0.000201611,0.000201611,0.000201611
144,11181.1,0.82402,0.47459,0.00354,0.00661,0.95987,0.88567,0.88478,0.78308,0.73095,0.49812,0.00469,0.00396,0.000195505,0.000195505,0.000195505
145,11259.3,0.81488,0.46024,0.00351,0.0064,0.95557,0.88524,0.88277,0.78232,0.72818,0.49637,0.00469,0.00394,0.000189475,0.000189475,0.000189475
146,11336.9,0.80593,0.44782,0.00353,0.00641,0.9572,0.88322,0.88244,0.78241,0.7312,0.50279,0.00469,0.00389,0.000183523,0.000183523,0.000183523
147,11414.5,0.81074,0.45319,0.00349,0.00632,0.95885,0.87959,0.88191,0.78104,0.72971,0.49823,0.00469,0.00389,0.000177651,0.000177651,0.000177651
148,11492,0.80617,0.45672,0.00357,0.00663,0.96035,0.87478,0.87793,0.77756,0.73234,0.50326,0.00469,0.00393,0.000171859,0.000171859,0.000171859
149,11570.3,0.80438,0.4474,0.00353,0.00662,0.95483,0.87909,0.8782,0.77751,0.73027,0.50055,0.00469,0.00383,0.000166149,0.000166149,0.000166149
